ID,Confidence,Bounding Box X,Bounding Box Y,Bounding Box Width,Bounding Box Height
0,0.8800241947174072,213,145,216,216
0,0.8843331336975098,213,113,232,232
0,0.8598111271858215,214,117,232,232
0,0.8026673793792725,208,123,235,235
0,0.8284523487091064,209,126,231,231
0,0.8109802603721619,209,128,232,232
0,0.8188654780387878,210,130,230,230
0,0.8465647101402283,209,131,230,230
0,0.8800669312477112,214,126,227,227
0,0.8722125291824341,211,120,234,234
0,0.8769170045852661,210,117,236,236
0,0.913538932800293,214,108,238,238
0,0.9002771973609924,216,90,235,235
0,0.9240760207176208,219,83,238,238
0,0.9256628155708313,220,89,231,231
0,0.9438668489456177,218,93,237,237
0,0.9426639080047607,218,99,233,233
0,0.9381619691848755,216,105,226,226
0,0.9101532101631165,214,110,224,224
0,0.9248154759407043,215,113,224,224
0,0.9210293292999268,212,109,226,226
0,0.9210293292999268,212,109,226,226
0,0.9191182851791382,211,106,226,226
0,0.9228155016899109,212,107,225,225
0,0.9105674624443054,213,108,224,224
0,0.912443220615387,213,110,222,222
0,0.9047693610191345,210,110,224,224
0,0.921463131904602,212,111,219,219
0,0.8632369637489319,210,109,226,226
0,0.8906576037406921,202,104,238,238
0,0.915709912776947,202,103,241,241
0,0.9020460844039917,205,107,239,239
0,0.9189603328704834,206,107,241,241
0,0.9189974665641785,205,105,245,245
0,0.9189974665641785,205,105,245,245
0,0.9279184341430664,205,104,239,239
0,0.9199292063713074,205,103,233,233
0,0.9108685851097107,205,101,232,232
0,0.9128832221031189,205,99,231,231
0,0.9268150925636292,206,98,231,231
0,0.9257805943489075,206,98,234,234
0,0.9369595050811768,206,98,234,234
0,0.9387047290802002,206,99,233,233
0,0.9282881617546082,205,101,231,231
0,0.9177972078323364,205,101,228,228
0,0.9058424234390259,205,101,228,228
0,0.9157894849777222,206,101,228,228
0,0.9258865714073181,206,100,230,230
0,0.9163148999214172,202,100,235,235
0,0.9059481620788574,214,111,223,223
0,0.9428596496582031,218,107,228,228
0,0.9425883889198303,220,108,228,228
0,0.9458029270172119,219,106,232,232
0,0.9376735687255859,219,109,231,231
0,0.9213463664054871,216,110,227,227
0,0.9437933564186096,210,104,239,239
0,0.9096987843513489,203,102,248,248
0,0.9096987843513489,203,102,248,248
0,0.9165461659431458,206,107,240,240
0,0.8880223631858826,200,106,248,248
0,0.875494658946991,198,105,248,248
0,0.8712849020957947,196,108,248,248
0,0.8326061964035034,199,116,241,241
0,0.8151075839996338,196,114,247,247
0,0.8044032454490662,193,121,245,245
0,0.8044032454490662,193,121,245,245
0,0.8352869153022766,193,126,243,243
0,0.845781147480011,193,126,244,244
0,0.8345122337341309,193,126,241,241
0,0.8469173312187195,194,128,240,240
0,0.8881759643554688,190,128,243,243
0,0.887821614742279,191,128,244,243
0,0.9027644991874695,190,128,244,244
0,0.904385507106781,190,128,242,242
0,0.9195947051048279,189,129,242,242
0,0.9177713394165039,190,130,241,241
0,0.9251313209533691,189,130,241,241
0,0.9227913618087769,188,128,241,241
0,0.9092655181884766,190,127,240,240
0,0.9136026501655579,190,129,235,235
0,0.9159631729125977,189,130,234,234
0,0.9151221513748169,189,129,234,234
0,0.9079350233078003,190,128,232,232
0,0.8995241522789001,189,125,235,235
0,0.8826436400413513,192,126,234,234
0,0.8991650938987732,191,127,236,236
0,0.8905929327011108,190,126,236,236
0,0.880039632320404,193,130,236,236
0,0.849567711353302,198,137,234,234
0,0.8929612040519714,203,136,237,237
0,0.8800672292709351,214,133,229,229
0,0.8995757699012756,213,133,232,232
0,0.9003724455833435,214,128,230,230
0,0.8721850514411926,210,124,235,235
0,0.8721850514411926,210,124,235,235
0,0.8513163328170776,209,129,231,231
0,0.857574462890625,208,128,230,230
0,0.8527023196220398,205,128,229,229
0,0.8728383183479309,201,127,230,230
0,0.8530154824256897,201,125,230,230
0,0.8658557534217834,200,125,230,230
0,0.8656480312347412,200,128,232,232
0,0.8766019940376282,198,141,225,225
0,0.9269066452980042,191,138,227,227
0,0.9300994873046875,189,141,227,227
0,0.9368402361869812,188,139,236,236
0,0.8935524821281433,188,137,242,242
0,0.8907209038734436,201,147,227,227
0,0.9046279788017273,200,146,227,227
0,0.9042893052101135,192,140,238,238
0,0.893311083316803,190,136,246,246
0,0.9064473509788513,190,135,245,245
0,0.8927435874938965,190,133,246,246
0,0.8746692538261414,193,134,244,244
0,0.9092170000076294,201,148,225,225
0,0.9112662672996521,201,151,225,225
0,0.9063913226127625,200,153,228,228
0,0.9088067412376404,194,144,235,235
0,0.9118699431419373,192,143,238,238
